location,latitude,longitude,new_loc_id
North Valley Occupational Ctr (9329),34.27728,-118.45681,0
107th St ES (5857),33.94018,-118.27249,1
135th St ES (5877),33.90963,-118.28942,2
42nd St ES (3959),34.00634,-118.32201,3
5014 - Loyola Village ES,34.19444,-118.157795,4
54th St ES (3781),33.99189,-118.34346,5
5986 - Palms ES,34.19444,-118.157795,6
7637 - Welby El,34.1915014,-118.637739,7
Alta California ES (7398),34.23281,-118.4569,8
Ambler ES (2089),33.87823,-118.27078,9
Amestoy ES (2096),33.89566,-118.29316,10
Anatola ES (2110),34.20324,-118.51409,11
Arminta St ES (2205),34.215,-118.38277,12
Arroyo Seco Museum Science Magnet SPAN (4322),34.10189,-118.20424,13
Berendo MS (8057),34.04997,-118.29504,14
Bonita ES (2473),33.82853,-118.26045,15
Brainard ES (2486),34.27741,-118.36461,16
Brentwood Sci Mag ES (2507),34.05083,-118.47417,17
Budlong ES (2616),33.98678,-118.29511,18
Byrd MS (8080),34.2232,-118.40812,19
Calabash ES (2704),34.15858,-118.62949,20
Calvert ES (2712),34.18177,-118.56517,21
Canfield ES (2740),34.0506,-118.39028,22
Canterbury Ave ES (2781),34.23396,-118.42984,23
Canyon ES (2795),34.03213,-118.51198,24
Carpenter ES (2822),34.14112,-118.39298,25
Castlebay Ln ES (2881),34.29346,-118.54769,26
Chandler ES (2959),34.02861,-118.18682,27
Chapman ES (2986),33.89551,-118.31287,28
Chatsworth ES (3027),34.25816,-118.60694,29
Chatsworth HS (8583),34.25362,-118.58632,30
Cohasset ES (3137),34.20751,-118.47799,31
Colfax ES (3164),34.16036,-118.38888,32
Danube ES (3335),34.27381,-118.47393,33
Delevan Drive ES (3397),34.12853,-118.22679,34
Dodson MS (8110),33.76602,-118.31559,35
Dolores ES (3452),33.82117,-118.27185,36
Dominguez ES (3466),33.83612,-118.21385,37
Dyer ES (3493),34.2995,-118.44729,38
Eagle Rock ES (3507),34.13639,-118.21252,39
El Sereno ES (3562),34.09009,-118.17705,40
Encino ES (3616),34.16235,-118.50241,41
Eshelman ES (3640),33.78828,-118.31388,42
Esperanza ES (2383),34.05496,-118.27168,43
Frank Del Olmo ES (2386),34.07349,-118.29228,44
Gardena HS (8664),33.8684,-118.29676,45
Gates ES (4096),34.07283,-118.20581,46
Glenfeliz Blvd ES (4164),34.12275,-118.26711,47
Glenwood ES (4192),34.21626,-118.35876,48
